<UNK> 1.0	sil
maron 1.0	mm aa rr on 
maron 1.0	mm aa rr on nn 
martin 1.0	mm aa rr tt in 
martin 1.0	mm aa rr tt in nn 
martinik 1.0	mm aa rr tt ii nn ii kk 
maré 1.0	mm aa rr 
mas 1.0	mm aa 
mas 1.0	mm aa zz 
masalé 1.0	mm aa zz aa ll 
mask 1.0	mm aa ss kk 
mask 1.0	mm aa ss kk ee 
maské 1.0	mm aa ss kk 
maské 1.0	mm aa ss kk ee 
maskéw 1.0	mm aa ss kk 
maskéw 1.0	mm aa ss kk ee 
mastè 1.0	mm aa ss tt 
maten 1.0	mm aa tt ai nn 
matinik 1.0	mm aa tt ii nn ii kk 
matinikgwadloup 1.0	mm aa tt ii nn ii kk gg ww aa dd ll ou 
matinikgwadloup 1.0	mm aa tt ii nn ii kk gg ww aa dd ll ou pp 
matiné 1.0	mm aa tt in 
matiné 1.0	mm aa tt in nn 
matière 1.0	mm aa tt ii 
matriyarkal 1.0	mm aa tt rr ii yy aa rr kk aa ll 
matyè 1.0	mm aa tt ii 
mayòk 1.0	mm aa ii 
mayòri 1.0	mm aa ii 
mcdo 1.0	mm kk dd au 
me 1.0	mm 
me 1.0	mm ee 
mem 1.0	mm ai mm 
memsi 1.0	mm an ss ii 
men 1.0	mm ai nn 
mendé 1.0	mm an 
mendé 1.0	mm an tt 
menm 1.0	mm an mm 
menndé 1.0	mm an nn 
menndé 1.0	mm an nn tt 
menndéséou 1.0	mm an nn 
menndéséou 1.0	mm an nn tt 
mentalité 1.0	mm an tt aa ll ii 
mentalité 1.0	mm an tt aa ll ii tt 
mesaj 1.0	mm ee zz aa jj 
mesaj 1.0	mm zz aa jj 
mesure 1.0	mm ee zz uu rr 
mesure 1.0	mm zz uu rr 
metropol 1.0	mm ee tt rr oo pp oo ll 
metropol 1.0	mm tt rr oo pp oo ll 
mhm 1.0	mm mm 
mi 1.0	mm ii 
michelin 1.0	mm ii ch ee ll in 
michelin 1.0	mm ii ch ee ll in nn 
michelin 1.0	mm ii ch ll in 
michelin 1.0	mm ii ch ll in nn 
midi 1.0	mm ii dd ii 
milyé 1.0	mm ii ll ii 
minit 1.0	mm ii nn ii 
minit 1.0	mm ii nn ii tt 
miss 1.0	mm ii ss 
misyé 1.0	mm ii zz ii 
mit 1.0	mm ii 
mit 1.0	mm ii tt 
mizik 1.0	mm ii zz ii kk 
mizéreu 1.0	mm ii 
mizéreu 1.0	mm ii zz 
mm 1.0	mm mm 
mmm 1.0	mm mm mm 
mo 1.0	mm au 
moderne 1.0	mm oo dd ai rr nn 
moderne 1.0	mm oo dd ai rr nn ee 
modernes 1.0	mm oo dd ai rr nn 
modernes 1.0	mm oo dd ai rr nn zz 
modernisme 1.0	mm oo dd ai rr nn ii ss mm 
modernisme 1.0	mm oo dd ai rr nn ii ss mm ee 
modes 1.0	mm oo dd 
modes 1.0	mm oo dd zz 
modènité 1.0	mm oo 
modènité 1.0	mm oo tt 
moins 1.0	mm ww in 
moins 1.0	mm ww in zz 
mois 1.0	mm ww aa 
mois 1.0	mm ww aa zz 
moli 1.0	mm oo ll ii 
molière 1.0	mm oo ll ii 
moman 1.0	mm oo mm an 
moman 1.0	mm oo mm an nn 
mon 1.0	mm on 
mon 1.0	mm on nn 
monchè 1.0	mm on ch 
mond 1.0	mm on 
mond 1.0	mm on tt 
moniman 1.0	mm oo nn ii mm an 
moniman 1.0	mm oo nn ii mm an nn 
montré 1.0	mm on tt rr 
montré 1.0	mm on tt rr ee 
montserrat 1.0	mm on tt ss ai rr aa 
montserrat 1.0	mm on tt ss ai rr aa tt 
moralité 1.0	mm oo rr aa ll ii 
moralité 1.0	mm oo rr aa ll ii tt 
mori 1.0	mm oo rr ii 
morue 1.0	mm oo rr uu 
motivé 1.0	mm oo tt ii vv 
moto 1.0	mm oo tt au 
moun 1.0	mm ou nn 
mounfanm 1.0	mm ou nn ff an mm 
mounsé 1.0	mm ou nn 
mounsé 1.0	mm ou nn zz 
mounté 1.0	mm ou nn 
mounté 1.0	mm ou nn tt 
mouvman 1.0	mm ou vv mm an 
mouvman 1.0	mm ou vv mm an nn 
mové 1.0	mm oo vv 
musique 1.0	mm uu zz ii kk 
mwa 1.0	mm ww aa 
mwayen 1.0	mm ww ai yy in 
mwayen 1.0	mm ww ai yy in nn 
mwen 1.0	mm ww ai nn 
mwen: 1.0	?? ?? 
mwenmem 1.0	mm ww an mm ai mm 
myé 1.0	mm ii 
mè 1.0	ai mm 
mèg 1.0	ai mm 
mèkrédi 1.0	ai mm 
mèm 1.0	ai mm 
mèmsi 1.0	ai mm 
mèmé 1.0	ai mm 
mèné 1.0	ai mm 
mèr- 1.0	ai mm 
mère 1.0	ai mm 
mèt 1.0	ai mm 
mèvèy 1.0	ai mm 
mé 1.0	ai mm 
méchansté 1.0	ai mm 
médikaman 1.0	ai mm 
mékontantman 1.0	ai mm 
mékrédi 1.0	ai mm 
mélanj 1.0	ai mm 
mélanjé 1.0	ai mm 
mélon 1.0	ai mm 
mélé 1.0	ai mm 
méné 1.0	ai mm 
méné-y 1.0	ai mm 
mérité 1.0	ai mm 
mésyé 1.0	ai mm 
mét 1.0	ai mm 
métro 1.0	ai mm 
métropol 1.0	ai mm 
mété 1.0	ai mm 
mété-y 1.0	ai mm 
mévèy 1.0	ai mm 
méyè 1.0	ai mm 
même 1.0	ai mm 
mò 1.0	ai mm 
mòd 1.0	ai mm 
mòl 1.0	ai mm 
nanpèch 1.0	nn an pp 
nap 1.0	nn aa 
nap 1.0	nn aa pp 
nasyon 1.0	nn aa zz yy on 
nasyon 1.0	nn aa zz yy on nn 
natif 1.0	nn aa tt ii ff 
nature 1.0	nn aa tt uu rr 
natyon 1.0	nn aa tt yy on 
natyon 1.0	nn aa tt yy on nn 
ne 1.0	nn 
ne 1.0	nn ee 
neg 1.0	nn ai gg 
neg 1.0	nn ai gg kk 
nenpòt 1.0	nn an pp 
neskzitwa 1.0	nn ai ss gg zz ii tt ww aa 
ni 1.0	nn ii 
niau 1.0	nn yy au 
nini 1.0	nn ii nn ii 
nitout 1.0	nn ii tt ou 
nitout 1.0	nn ii tt ou tt 
nitrisyonèl 1.0	nn ii tt rr ii zz yy on 
nitrisyonèl 1.0	nn ii tt rr ii zz yy on nn 
nité 1.0	nn ii 
nité 1.0	nn ii tt 
niveau 1.0	nn ii vv au 
nivo 1.0	nn ii vv au 
niyès 1.0	nn yy ii 
no 1.0	nn au 
nom 1.0	nn on 
non 1.0	nn on 
non 1.0	nn on nn 
nord 1.0	nn oo rr 
nord 1.0	nn oo rr tt 
normalement 1.0	nn oo rr mm aa ll ee mm an 
normalement 1.0	nn oo rr mm aa ll ee mm an tt 
normalement 1.0	nn oo rr mm aa ll mm an 
normalement 1.0	nn oo rr mm aa ll mm an tt 
notab 1.0	nn oo tt aa bb 
notamman 1.0	nn oo tt aa mm an 
notamman 1.0	nn oo tt aa mm an nn 
nou 1.0	nn ou 
nou-y 1.0	nn ou ii 
nouri 1.0	nn ou rr ii 
nous 1.0	nn ou 
nous 1.0	nn ou zz 
nous-mêmes 1.0	nn ou ai mm 
nouveaux 1.0	nn ou vv au 
nouveaux 1.0	nn ou vv au zz 
nouvo 1.0	nn ou vv au 
nouvèl 1.0	nn ou vv 
nowèl 1.0	nn aa oo 
nuit 1.0	nn uy ii 
nuit 1.0	nn uy ii tt 
nwa 1.0	nn ww aa 
nwè 1.0	nn ww 
nyès 1.0	nn ii 
nèf 1.0	ai nn 
nèg 1.0	ai nn 
négosyé 1.0	ai nn 
négropoliten 1.0	ai nn 
nésans 1.0	ai nn 
nésésè 1.0	ai nn 
nòmal 1.0	ai nn 
nòmalman 1.0	ai nn 
nòt 1.0	ai nn 
nòwmal 1.0	ai nn 
o 1.0	au 
ob 1.0	oo bb 
obama 1.0	oo bb aa mm aa 
oblijé 1.0	oo bb ll ii jj 
obstak 1.0	oo pp ss tt aa kk 
occasion 1.0	oo kk aa zz yy on 
occasion 1.0	oo kk aa zz yy on nn 
ogmanté 1.0	oo gg mm an 
ogmanté 1.0	oo gg mm an tt 
okin 1.0	oo kk in 
okin 1.0	oo kk in nn 
okontrè 1.0	oo kk on tt rr 
okontrè 1.0	oo kk on tt rr ee 
oké 1.0	au kk ei 
ola 1.0	oo ll aa 
olala 1.0	oo ll aa ll aa 
olyé 1.0	oo ll ii 
omwen 1.0	on ww ai nn 
on 1.0	on 
on 1.0	on nn 
oncle 1.0	on kk ll 
oncle 1.0	on kk ll ee 
onivo 1.0	oo nn ii vv au 
onon 1.0	oo nn on 
onon 1.0	oo nn on nn 
onoré 1.0	oo nn oo rr 
ont 1.0	on 
ont 1.0	on tt 
onzè 1.0	on 
onzè 1.0	on zz 
onèt 1.0	on 
onèt 1.0	on nn 
oo 1.0	ou 
optimis 1.0	oo pp tt ii mm ii 
optimis 1.0	oo pp tt ii mm ii zz 
option 1.0	oo pp ss yy on 
option 1.0	oo pp ss yy on nn 
orgies 1.0	oo rr jj ii 
orgies 1.0	oo rr jj ii zz 
osi 1.0	oo zz ii 
oswè 1.0	oo ss ww 
ot 1.0	au 
ot 1.0	au tt 
otan 1.0	oo tt an 
otan 1.0	oo tt an nn 
otomatikman 1.0	oo tt oo mm aa tt ii kk mm an 
otomatikman 1.0	oo tt oo mm aa tt ii kk mm an nn 
otonòm 1.0	oo tt on 
otonòm 1.0	oo tt on nn 
ou 1.0	ou 
oublier 1.0	ou bb ll ii yy ei 
oubliyé 1.0	ou bb ll ii ii 
oubliyé-y 1.0	ou bb ll ii ii 
oublié 1.0	ou bb ll ii 
oubyen 1.0	ou bb yy in 
oubyen 1.0	ou bb yy in nn 
out 1.0	aa ou tt 
ouverture 1.0	ou vv ai rr tt uu rr 
owa 1.0	oo ww aa 
où 1.0	au 
pa 1.0	pp aa 
pakou 1.0	pp aa kk ou 
pakèt 1.0	pp aa kk 
pala 1.0	pp aa ll aa 
pale 1.0	pp aa ll 
palé 1.0	pp aa ll 
palé-w 1.0	pp aa ll 
paléw 1.0	pp aa ll 
pan 1.0	pp an 
pan 1.0	pp an nn 
pandan 1.0	pp an dd an 
pandan 1.0	pp an dd an nn 
pani 1.0	pp aa nn ii 
pano 1.0	pp aa nn au 
pansé 1.0	pp an 
pansé 1.0	pp an zz 
panten 1.0	pp an tt ai nn 
pap 1.0	pp aa 
pap 1.0	pp aa pp 
papa 1.0	pp aa pp aa 
papa-w 1.0	pp aa pp aa dd ou bb ll ee vv ei 
papa-w 1.0	pp aa pp aa dd ou bb ll vv ei 
papa-y 1.0	pp aa pp aa ii 
papi 1.0	pp aa pp ii 
papiyon 1.0	pp aa pp ii yy on 
papiyon 1.0	pp aa pp ii yy on nn 
par 1.0	pp aa rr 
paradijak 1.0	pp aa rr aa dd ii jj aa kk 
paralèlman 1.0	pp aa rr aa ll 
parce 1.0	pp aa rr ss 
parce 1.0	pp aa rr ss ee 
paris 1.0	pp aa rr ii 
paris 1.0	pp aa rr ii zz 
parisyen 1.0	pp aa rr ii zz yy in 
parisyen 1.0	pp aa rr ii zz yy in nn 
park 1.0	pp aa rr kk 
park 1.0	pp aa rr kk ee 
part 1.0	pp aa rr 
part 1.0	pp aa rr tt 
partie 1.0	pp aa rr tt ii 
parèt 1.0	pp aa rr 
paré 1.0	pp aa rr 
pas 1.0	pp aa 
pas 1.0	pp aa zz 
pasad 1.0	pp aa zz aa 
pasad 1.0	pp aa zz aa tt 
pascal 1.0	pp aa ss kk aa ll 
pasi 1.0	pp aa zz ii 
paskal 1.0	pp aa ss kk aa ll 
paskè 1.0	pp aa ss kk 
paskè 1.0	pp aa ss kk ee 
paské 1.0	pp aa ss kk 
paské 1.0	pp aa ss kk ee 
pastèk 1.0	pp aa ss tt 
pasé 1.0	pp aa 
pasé 1.0	pp aa zz 
pat 1.0	pp aa tt 
pataj 1.0	pp aa tt aa jj 
patajé 1.0	pp aa tt aa jj 
patat 1.0	pp aa tt aa 
patat 1.0	pp aa tt aa tt 
pati 1.0	pp aa tt ii 
patikilyè 1.0	pp aa tt ii kk ii ll ii 
patikilyèman 1.0	pp aa tt ii kk ii ll ii 
patikilyé 1.0	pp aa tt ii kk ii ll ii 
patrimwan 1.0	pp aa tt rr in ww an 
patrimwan 1.0	pp aa tt rr in ww an nn 
pavané 1.0	pp aa vv an 
pavané 1.0	pp aa vv an nn 
pawòl 1.0	pp aa ww 
pays 1.0	pp ei ii 
pays 1.0	pp ei ii zz 
pen 1.0	pp ai nn 
pensée 1.0	pp an 
pensée 1.0	pp an zz 
personnellement 1.0	pp ai rr ss oo nn ai ll ee mm an 
personnellement 1.0	pp ai rr ss oo nn ai ll ee mm an tt 
personnellement 1.0	pp ai rr ss oo nn ai ll mm an 
personnellement 1.0	pp ai rr ss oo nn ai ll mm an tt 
petit 1.0	pp ee tt ii 
petit 1.0	pp ee tt ii tt 
petit 1.0	pp tt ii 
petit 1.0	pp tt ii tt 
petite 1.0	pp ee tt ii tt 
petite 1.0	pp tt ii tt 
peu 1.0	pp eu 
peut 1.0	pp eu 
peut 1.0	pp eu tt 
peyi 1.0	pp ai yy ii 
photo 1.0	ff oo tt au 
pi 1.0	pp ii 
pik 1.0	pp ii kk 
pisin 1.0	pp ii zz in 
pisin 1.0	pp ii zz in nn 
piské 1.0	pp ii ss kk 
piské 1.0	pp ii ss kk ee 
piti 1.0	pp ii tt ii 
pito 1.0	pp ii tt au 
pla 1.0	pp ll aa 
placées 1.0	pp ll aa kk 
plan 1.0	pp ll an 
plan 1.0	pp ll an nn 
planté 1.0	pp ll an 
planté 1.0	pp ll an tt 
plas 1.0	pp ll aa 
plas 1.0	pp ll aa zz 
play 1.0	pp ll ai 
plen 1.0	pp ll ai nn 
plent 1.0	pp ll an 
plent 1.0	pp ll an tt 
pli 1.0	pp ll ii 
plibiten 1.0	pp ll ii bb ii tt ai nn 
plis 1.0	pp ll ii 
plis 1.0	pp ll ii zz 
plito 1.0	pp ll ii tt au 
plui 1.0	pp ll uy ii 
plupart 1.0	pp ll uu pp aa rr 
plupart 1.0	pp ll uu pp aa rr tt 
plus 1.0	pp ll uu ss 
plutot 1.0	pp ll uu tt au 
plutot 1.0	pp ll uu tt au tt 
plézi 1.0	pp ll 
plézi 1.0	pp ll ee 
po 1.0	pp au 
pointe-à-pite 1.0	pp ww in tt 
poko 1.0	pp oo kk au 
polis 1.0	pp oo ll ii 
polis 1.0	pp oo ll ii zz 
polisyé 1.0	pp oo ll ii zz ii 
politik 1.0	pp oo ll ii tt ii kk 
politique 1.0	pp oo ll ii tt ii kk 
pon 1.0	pp on 
pon 1.0	pp on nn 
popilasyon 1.0	pp oo pp ii ll aa zz yy on 
popilasyon 1.0	pp oo pp ii ll aa zz yy on nn 
population 1.0	pp oo pp uu ll aa ss yy on 
population 1.0	pp oo pp uu ll aa ss yy on nn 
populations 1.0	pp oo pp uu ll aa ss yy on 
populations 1.0	pp oo pp uu ll aa ss yy on zz 
posib 1.0	pp oo zz ii bb 
posibilité 1.0	pp oo zz ii bb ii ll ii 
posibilité 1.0	pp oo zz ii bb ii ll ii tt 
possibilité 1.0	pp oo ss ii bb ii ll ii 
possibilité 1.0	pp oo ss ii bb ii ll ii tt 
potansyèl 1.0	pp oo tt an ss ii 
poté 1.0	pp au 
poté 1.0	pp au tt 
pou 1.0	pp ou 
pou-y 1.0	pp ou ii 
poukwa 1.0	pp ou kk ww aa 
poukwapremyé 1.0	pp ou kk ww aa pp rr ee mm ii 
poukwapremyé 1.0	pp ou kk ww aa pp rr mm ii 
poulè 1.0	pp ou ll 
poupé 1.0	pp ou 
poupé 1.0	pp ou pp 
pour 1.0	pp ou rr 
poutan 1.0	pp ou tt an 
poutan 1.0	pp ou tt an nn 
poutourist 1.0	pp ou tt ou rr ii ss tt 
pouvoir 1.0	pp ou vv ww aa rr 
povrété 1.0	pp oo vv rr 
povrété 1.0	pp oo vv rr ee 
poze 1.0	pp oo zz 
pozé 1.0	pp oo 
pozé 1.0	pp oo zz 
pran 1.0	pp rr an 
pran 1.0	pp rr an nn 
pran-y 1.0	pp rr an ii 
prann 1.0	pp rr an nn 
pratikman 1.0	pp rr aa tt ii kk mm an 
pratikman 1.0	pp rr aa tt ii kk mm an nn 
première 1.0	pp rr ee mm ii 
première 1.0	pp rr mm ii 
premyè 1.0	pp rr ee mm ii 
premyè 1.0	pp rr mm ii 
premyé 1.0	pp rr ee mm ii 
premyé 1.0	pp rr mm ii 
pren 1.0	pp rr ai nn 
preské 1.0	pp rr ai ss kk 
preské 1.0	pp rr ai ss kk ee 
pri 1.0	pp rr ii 
privé 1.0	pp rr ii vv 
prizon 1.0	pp rr ii zz on 
prizon 1.0	pp rr ii zz on nn 
prizé 1.0	pp rr ii 
prizé 1.0	pp rr ii zz 
problèm 1.0	pp rr oo bb ll 
problèm 1.0	pp rr oo bb ll ee 
prochèn 1.0	pp rr oo ch 
producteur 1.0	pp rr oo dd uu kk tt oe rr 
produi 1.0	pp rr oo dd uy ii 
produit 1.0	pp rr oo dd uy ii 
produit 1.0	pp rr oo dd uy ii tt 
produits 1.0	pp rr oo dd uy ii 
produits 1.0	pp rr oo dd uy ii zz 
profité 1.0	pp rr oo ff ii 
profité 1.0	pp rr oo ff ii tt 
progrésé 1.0	pp rr oo gg rr 
progrésé 1.0	pp rr oo gg rr ee 
projè 1.0	pp rr oo jj 
promets 1.0	pp rr oo mm ai 
promets 1.0	pp rr oo mm ai zz 
promèt 1.0	pp rr on 
propozé 1.0	pp rr oo pp oo 
propozé 1.0	pp rr oo pp oo zz 
propozé-y 1.0	pp rr oo pp oo 
propozé-y 1.0	pp rr oo pp oo zz 
proprement 1.0	pp rr oo pp rr ee mm an 
proprement 1.0	pp rr oo pp rr ee mm an tt 
proprement 1.0	pp rr oo pp rr mm an 
proprement 1.0	pp rr oo pp rr mm an tt 
protéjé 1.0	pp rr au 
protéjé 1.0	pp rr au tt 
prèmyé 1.0	pp rr 
prèmyé 1.0	pp rr ee 
prèsk 1.0	pp rr 
prèsk 1.0	pp rr ee 
pré 1.0	pp rr 
pré 1.0	pp rr ee 
prédi 1.0	pp rr 
prédi 1.0	pp rr ee 
préféré 1.0	pp rr 
préféré 1.0	pp rr ee 
prékonsyon 1.0	pp rr 
prékonsyon 1.0	pp rr ee 
prémyé 1.0	pp rr 
prémyé 1.0	pp rr ee 
préparé 1.0	pp rr 
préparé 1.0	pp rr ee 
préparé-y 1.0	pp rr 
préparé-y 1.0	pp rr ee 
préparéw 1.0	pp rr 
préparéw 1.0	pp rr ee 
présidan 1.0	pp rr 
présidan 1.0	pp rr ee 
prété-y 1.0	pp rr 
prété-y 1.0	pp rr ee 
prézaje-y 1.0	pp rr 
prézaje-y 1.0	pp rr ee 
prézan 1.0	pp rr 
prézan 1.0	pp rr ee 
prézanté 1.0	pp rr 
prézanté 1.0	pp rr ee 
pròp 1.0	pp rr 
pròp 1.0	pp rr ee 
psychologie 1.0	pp ss ii kk oo ll oo jj ii 
puisans 1.0	pp uy ii zz an 
puisans 1.0	pp uy ii zz an zz 
puissance 1.0	pp uy ii ss an ss 
punch 1.0	pp on ch 
pur 1.0	pp uu rr 
pwa 1.0	pp ww aa 
pwason 1.0	pp ww aa zz on 
pwason 1.0	pp ww aa zz on nn 
pwen 1.0	pp ww ai nn 
pwèl 1.0	pp ww 
pwòp 1.0	pp ww 
pyé 1.0	pp ii 
pè 1.0	pp ei 
pè 1.0	pp ei pp 
pèd 1.0	pp ei 
pèd 1.0	pp ei pp 
pèmèt 1.0	pp ei 
pèmèt 1.0	pp ei pp 
pèp 1.0	pp ei 
pèp 1.0	pp ei pp 
pèsonèlman 1.0	pp ei 
pèsonèlman 1.0	pp ei pp 
pèsé 1.0	pp ei 
pèsé 1.0	pp ei pp 
pé 1.0	pp ei 
pé 1.0	pp ei pp 
péchè 1.0	pp ei 
péchè 1.0	pp ei pp 
péché 1.0	pp ei 
péché 1.0	pp ei pp 
périod 1.0	pp ei 
périod 1.0	pp ei pp 
pétrol 1.0	pp ei 
pétrol 1.0	pp ei pp 
pétèt 1.0	pp ei 
pétèt 1.0	pp ei pp 
pété 1.0	pp ei 
pété 1.0	pp ei pp 
pétét 1.0	pp ei 
pétét 1.0	pp ei pp 
péyi 1.0	pp ei 
péyi 1.0	pp ei pp 
péyé 1.0	pp ei 
péyé 1.0	pp ei pp 
péyé-y 1.0	pp ei 
péyé-y 1.0	pp ei pp 
pò 1.0	pp ei 
pò 1.0	pp ei pp 
pòch 1.0	pp ei 
pòch 1.0	pp ei pp 
pòm 1.0	pp ei 
pòm 1.0	pp ei pp 
pòst 1.0	pp ei 
pòst 1.0	pp ei pp 
pòt 1.0	pp ei 
pòt 1.0	pp ei pp 
pòté 1.0	pp ei 
pòté 1.0	pp ei pp 
qualité 1.0	kk aa ll ii 
qualité 1.0	kk aa ll ii tt 
que 1.0	kk 
que 1.0	kk ee 
quel 1.0	kk ai ll 
quelle 1.0	kk ai ll 
question 1.0	kk ai ss tt yy on 
question 1.0	kk ai ss tt yy on nn 
qui 1.0	kk ii 
quoi 1.0	kk ww aa 
ragou 1.0	rr aa gg ou 
rakonté 1.0	rr aa kk on 
rakonté 1.0	rr aa kk on tt 
rakonté-w 1.0	rr aa kk on 
rakonté-w 1.0	rr aa kk on tt 
rankontré 1.0	rr an kk on tt rr 
rankontré 1.0	rr an kk on tt rr ee 
rann 1.0	rr an nn 
ranpli 1.0	rr an pp ll ii 
rantré 1.0	rr an tt rr 
rantré 1.0	rr an tt rr ee 
rapidman 1.0	rr aa pp ii dd mm an 
rapidman 1.0	rr aa pp ii dd mm an nn 
raport 1.0	rr aa pp oo rr 
raport 1.0	rr aa pp oo rr tt 
rapport 1.0	rr aa pp oo rr 
rapport 1.0	rr aa pp oo rr tt 
rapò 1.0	rr aa pp 
rasazié 1.0	rr aa zz aa zz ii 
rasist 1.0	rr aa zz ii ss tt 
raté 1.0	rr aa 
raté 1.0	rr aa tt 
rebelòt 1.0	rr bb ai ll 
rebelòt 1.0	rr ee bb ai ll 
recherche 1.0	rr ch ai rr ch 
recherche 1.0	rr ch ai rr ch ee 
recherche 1.0	rr ee ch ai rr ch 
recherche 1.0	rr ee ch ai rr ch ee 
reconnaissance 1.0	rr ee kk oo nn ai ss an ss 
reconnaissance 1.0	rr kk oo nn ai ss an ss 
reconnu 1.0	rr ee kk oo nn uu 
reconnu 1.0	rr kk oo nn uu 
rekonséyé 1.0	rr ee kk on 
rekonséyé 1.0	rr ee kk on zz 
rekonséyé 1.0	rr kk on 
rekonséyé 1.0	rr kk on zz 
rentes 1.0	rr an tt 
rentes 1.0	rr an tt zz 
reprann 1.0	rr ee pp rr an nn 
reprann 1.0	rr pp rr an nn 
repren-y 1.0	rr ee pp rr in nn ii 
repren-y 1.0	rr pp rr in nn ii 
respiré 1.0	rr ai ss pp ii rr 
responsab 1.0	rr ai ss pp on ss aa bb 
respè 1.0	rr ai ss pp 
respékté 1.0	rr ai ss pp 
respékté-y 1.0	rr ai ss pp 
retou 1.0	rr ee tt ou 
retou 1.0	rr tt ou 
retouné 1.0	rr ee tt ou nn 
retouné 1.0	rr tt ou nn 
retrouvé 1.0	rr ee tt rr ou vv 
retrouvé 1.0	rr tt rr ou vv 
reviré 1.0	rr ee vv ii rr 
reviré 1.0	rr vv ii rr 
reztan 1.0	rr ai zz tt an 
reztan 1.0	rr ai zz tt an nn 
rhumes 1.0	rr uu mm 
rhumes 1.0	rr uu mm zz 
ri 1.0	rr ii 
rich 1.0	rr ii ch 
richès 1.0	rr ii ch 
rio 1.0	rr yy au 
ritm 1.0	rr ii tt mm 
rité 1.0	rr ii 
rité 1.0	rr ii tt 
rivyè 1.0	rr ii vv ii 
rivé 1.0	rr ii vv 
ronkontré 1.0	rr on kk on tt rr 
ronkontré 1.0	rr on kk on tt rr ee 
rosa 1.0	rr oo zz aa 
rouj 1.0	rr ou jj 
rousi 1.0	rr ou zz ii 
rsa 1.0	rr ss aa 
rythmes 1.0	rr ii tt mm 
rythmes 1.0	rr ii tt mm zz 
rèd 1.0	ai rr 
rèligieuz 1.0	ai rr 
rèmaké 1.0	ai rr 
rès- 1.0	ai rr 
rèspè 1.0	ai rr 
rèsté 1.0	ai rr 
rèviré 1.0	ai rr 
ré 1.0	ai rr 
réaji 1.0	ai rr 
réchèché 1.0	ai rr 
rédistribiyé 1.0	ai rr 
réfléchi 1.0	ai rr 
réflété 1.0	ai rr 
référans 1.0	ai rr 
réfòm 1.0	ai rr 
réglé 1.0	ai rr 
régléments 1.0	ai rr 
rékoni 1.0	ai rr 
rékonèt 1.0	ai rr 
rékonésans 1.0	ai rr 
rémésyé 1.0	ai rr 
répité 1.0	ai rr 
réponn 1.0	ai rr 
répèrkité-y 1.0	ai rr 
résaman 1.0	ai rr 
résisté 1.0	ai rr 
résous 1.0	ai rr 
résté 1.0	ai rr 
résèt 1.0	ai rr 
résèvé 1.0	ai rr 
rétouné 1.0	ai rr 
rétrouvé 1.0	ai rr 
rétèni 1.0	ai rr 
rété 1.0	ai rr 
révandiké 1.0	ai rr 
réviré 1.0	ai rr 
révolisyion 1.0	ai rr 
révolisyon 1.0	ai rr 
réyinyon 1.0	ai rr 
réyisi 1.0	ai rr 
réyisi-y 1.0	ai rr 
réyèl 1.0	ai rr 
rézilta 1.0	ai rr 
rézisté 1.0	ai rr 
rézon 1.0	ai rr 
s 1.0	ai ss 
sa 1.0	ss aa 
sa-w 1.0	ss aa dd ou bb ll ee vv ei 
sa-w 1.0	ss aa dd ou bb ll vv ei 
sak 1.0	ss aa kk 
saksofòn 1.0	ss aa kk ss oo ff 
sal 1.0	ss aa ll 
sala 1.0	ss aa ll aa 
salyé 1.0	ss aa ll ii 
salé 1.0	ss aa ll 
salézon 1.0	ss aa ll 
sam 1.0	ss aa mm 
samdi 1.0	ss an dd ii 
san 1.0	ss an 
san 1.0	ss an nn 
sanblé 1.0	ss an bb ll 
sanblé 1.0	ss an bb ll ee 
sanm 1.0	ss an mm 
sans 1.0	ss an 
sans 1.0	ss an zz 
santi 1.0	ss an tt ii 
santiw 1.0	ss an tt ii ww 
santé 1.0	ss an 
santé 1.0	ss an tt 
sasa 1.0	ss aa zz aa 
sav 1.0	ss aa vv 
savoir 1.0	ss aa vv ww aa rr 
savé 1.0	ss aa vv 
saw 1.0	ss aa ww 
sciences 1.0	ss yy an ss 
scientifiquement 1.0	ss yy an tt ii ff ii kk ee mm an 
scientifiquement 1.0	ss yy an tt ii ff ii kk ee mm an tt 
scientifiquement 1.0	ss yy an tt ii ff ii kk mm an 
scientifiquement 1.0	ss yy an tt ii ff ii kk mm an tt 
scolaire 1.0	ss kk oo ll ai rr 
se 1.0	ss 
se 1.0	ss ee 
segon 1.0	ss ee gg on 
segon 1.0	ss ee gg on nn 
segon 1.0	ss gg on 
segon 1.0	ss gg on nn 
sela 1.0	ss ee ll aa 
sela 1.0	ss ll aa 
senbioz 1.0	ss an bb yy oo 
senbioz 1.0	ss an bb yy oo zz 
senk 1.0	ss an kk 
senkant 1.0	ss an kk an 
senkant 1.0	ss an kk an tt 
senkè 1.0	ss an kk 
senp 1.0	ss an pp 
sent 1.0	ss 
sent 1.0	ss tt 
senten 1.0	ss an tt ai nn 
sentimantal 1.0	ss an tt ii mm an tt aa ll 
sentèn 1.0	ss 
sentèn 1.0	ss tt 
sept 1.0	ss ai tt 
septanm 1.0	ss ai pp tt an mm 
sesi 1.0	ss ee zz ii 
sesi 1.0	ss zz ii 
sexuelle 1.0	ss ai kk ss uy ai ll 
sexuelles 1.0	ss ai kk ss uy ai ll 
sexuelles 1.0	ss ai kk ss uy ai ll zz 
shop 1.0	ch au 
shop 1.0	ch au pp 
si 1.0	ss ii 
si'w 1.0	ss ii ww 
sibi 1.0	ss ii bb ii 
